NP_NP_EX ->  there # 1.0000000000
VP* ->  VB NP_PRP # 0.5290322581
VP* ->  VBG NP_NNP # 0.0064516129
VP* ->  VP* NP # 0.0129032258
VP* ->  VB PP # 0.0838709677
QP ->  CC JJR # 0.0714285714
QP ->  RB CD # 0.2142857143
QP ->  QP* CD # 0.7142857143
FRAG* ->  NP_NNP PP # 0.2500000000
FRAG* ->  WHNP PP # 0.1666666667
FRAG* ->  FRAG* NP # 0.0833333333
FRAG* ->  NP NP # 0.1666666667
FRAG* ->  FRAG* PP # 0.1666666667
FRAG* ->  NP_NN PP # 0.0833333333
FRAG* ->  PP PP # 0.0833333333
FRAG_PP ->  IN NP_NNP # 0.2000000000
FRAG_PP ->  IN NP # 0.8000000000
WHADJP ->  WRB JJ # 1.0000000000
WHNP ->  WHADJP NNS # 0.0109890110
WHNP ->  WRB RB # 0.0549450549
WHNP ->  WHNP_WDT PP # 0.1868131868
WHNP ->  WHNP ADJP_JJ # 0.0109890110
WHNP ->  WHNP PP # 0.0329670330
WHNP ->  WDT NN # 0.0329670330
WHNP ->  WDT NNS # 0.6703296703
